name,Model_Name,config,hardware_utilization,total_latency,fps,total_dynamic_energy,total_static_power,fps_per_w,area,fps_per_w_per_area,Total_Cache_Reads,Total_Cache_Writes,Total_Cache_Access,Dataflow,Datarate,BatchSize
AMW_5,GoogLeNet,"[{'element_size': 16, 'element_count': 16, 'units_count': 734, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMW_5', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 5, 'batch_size': 1}]",0.00133403,0.021870299,45.72411091,1359.240788,818448.9092,5.19E-05,41986.25814,1.24E-09,4.10217E+11,12562015,4.10229E+11,Input-Stationary,5,1
AMW_1,GoogLeNet,"[{'element_size': 31, 'element_count': 31, 'units_count': 197, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMW_1', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 1, 'batch_size': 1}]",0.002291171,0.04360337,22.9340069,791.2848836,215689.554,9.81E-05,25424.06357,3.86E-09,2.33476E+11,3707131,2.3348E+11,Weight-Stationary,1,1
AMW_1,GoogLeNet,"[{'element_size': 31, 'element_count': 31, 'units_count': 197, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMW_1', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 1, 'batch_size': 1}]",0.002291171,0.04360337,22.9340069,791.2848836,215689.554,9.81E-05,25424.06357,3.86E-09,2.33476E+11,3707131,2.3348E+11,Output-Stationary,1,1
AMW_1,GoogLeNet,"[{'element_size': 31, 'element_count': 31, 'units_count': 197, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMW_1', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 1, 'batch_size': 1}]",0.002291171,0.045456731,21.99894249,803.5432606,215689.554,9.43E-05,25424.06357,3.71E-09,4.63936E+11,7331515,4.63944E+11,Input-Stationary,1,1
MAW_1,GoogLeNet,"[{'element_size': 44, 'element_count': 44, 'units_count': 173, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'MAW_1', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 1, 'batch_size': 1}]",0.003345977,0.35966828,2.780339707,549.6740737,331933.1526,8.34E-06,25408.74542,3.28E-10,2.31187E+11,2587599,2.31189E+11,Weight-Stationary,1,1
MAW_1,GoogLeNet,"[{'element_size': 44, 'element_count': 44, 'units_count': 173, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'MAW_1', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 1, 'batch_size': 1}]",0.003345977,0.35966828,2.780339707,549.6740737,331933.1526,8.34E-06,25408.74542,3.28E-10,2.31187E+11,2587599,2.31189E+11,Output-Stationary,1,1
MAW_1,GoogLeNet,"[{'element_size': 44, 'element_count': 44, 'units_count': 173, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'MAW_1', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 1, 'batch_size': 1}]",0.003345977,0.36093904,2.770550951,560.3355499,331933.1526,8.31E-06,25408.74542,3.27E-10,4.59432E+11,5120783,4.59438E+11,Input-Stationary,1,1
MAW_5,GoogLeNet,"[{'element_size': 22, 'element_count': 22, 'units_count': 673, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'MAW_5', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 5, 'batch_size': 1}]",0.001755147,0.726304867,1.376832299,1007.257507,1278845.682,1.08E-06,55604.42044,1.93E-11,2.10503E+11,4703321,2.10508E+11,Weight-Stationary,5,1
MAW_5,GoogLeNet,"[{'element_size': 22, 'element_count': 22, 'units_count': 673, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'MAW_5', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 5, 'batch_size': 1}]",0.001755147,0.726304867,1.376832299,1007.257507,1278845.682,1.08E-06,55604.42044,1.93E-11,2.10503E+11,4703321,2.10508E+11,Output-Stationary,5,1
MAW_5,GoogLeNet,"[{'element_size': 22, 'element_count': 22, 'units_count': 673, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'MAW_5', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 5, 'batch_size': 1}]",0.001755147,0.728967397,1.371803463,1044.985197,1278845.682,1.07E-06,55604.42044,1.93E-11,4.18124E+11,9310985,4.18134E+11,Input-Stationary,5,1
