Unnamed: 0,name,Model_Name,config,hardware_utilization,total_latency,fps,total_dynamic_energy,total_static_power,fps_per_w,area,fps_per_w_per_area,Total_Cache_Reads,Total_Cache_Writes,Total_Cache_Access,Dataflow,Datarate,BatchSize
11,AMW_10,MobileNet_V2,"[{'element_size': 12, 'element_count': 12, 'units_count': 1280, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMW_10', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 10, 'batch_size': 256}]",8.595085033502904e-07,0.6697684479999946,1.4930533126577024,232276.4272458999,1427215.4958640046,8.416230858655766e-07,22251.065426544,3.782394549348535e-11,47645242490880,1995479040,47647237969920,Output-Stationary,10,256
12,MAW_1,GoogLeNet,"[{'element_size': 44, 'element_count': 44, 'units_count': 173, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'MAW_1', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 1, 'batch_size': 256}]",2.172288957358186e-05,92.07507964450956,0.010860701982131,143444.88006118772,331933.1526098881,3.2566695577886814e-08,25408.745417609,1.2817120657723285e-12,117614697390080,1310920448,117616008310528,Output-Stationary,1,256
13,MAW_1,ResNet50,"[{'element_size': 44, 'element_count': 44, 'units_count': 173, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'MAW_1', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 1, 'batch_size': 256}]",1.1942769415071432e-06,307.9805930314673,0.0032469578363914,1745714.8978392296,331933.1526098881,9.617725783886868e-09,25408.745417609,3.785202939308252e-13,1389258531291136,15531617792,1389274062908928,Output-Stationary,1,256
14,MAW_1,ShuffleNet_V2,"[{'element_size': 44, 'element_count': 44, 'units_count': 173, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'MAW_1', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 1, 'batch_size': 256}]",5.709457794890733e-06,28.643749463672243,0.0349116305904107,108959.039774375,331933.1526098881,1.0398502755055877e-07,25408.745417609,4.092489646438588e-12,85645558259712,971944704,85646530204416,Output-Stationary,1,256
15,MAW_1,MobileNet_V2,"[{'element_size': 44, 'element_count': 44, 'units_count': 173, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'MAW_1', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 1, 'batch_size': 256}]",3.051934467570475e-06,12.68639651838489,0.0788245896737358,65404.37980860157,331933.1526098881,2.33839363275119e-07,25408.745417609,9.203105443886322e-12,41940591075328,483194368,41941074269696,Output-Stationary,1,256
16,MAW_5,GoogLeNet,"[{'element_size': 22, 'element_count': 22, 'units_count': 673, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'MAW_5', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 5, 'batch_size': 256}]",1.1319313797463142e-05,185.93404597467296,0.0053782511683536,267513.3389022363,1278845.6822118813,4.200825235813532e-09,55604.42044152229,7.554840428975299e-14,107039852294144,2383612160,107042235906304,Output-Stationary,5,256
17,MAW_5,ResNet50,"[{'element_size': 22, 'element_count': 22, 'units_count': 673, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'MAW_5', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 5, 'batch_size': 256}]",6.006463551269187e-07,636.3376320353602,0.0015714927888225,3579011.9339468945,1278845.6822118813,1.2234561326510024e-09,55604.42044152229,2.2002857379615693e-14,1424375370756096,31828007936,1424407198764032,Output-Stationary,5,256
18,MAW_5,ShuffleNet_V2,"[{'element_size': 22, 'element_count': 22, 'units_count': 673, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'MAW_5', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 5, 'batch_size': 256}]",2.930321585931724e-06,64.8176134328462,0.0154279052720144,218968.71805043748,1278845.6822118813,1.2032145978130344e-08,55604.42044152229,2.1638829939400655e-13,86565944926208,1961913856,86567906840064,Output-Stationary,5,256
19,MAW_5,MobileNet_V2,"[{'element_size': 22, 'element_count': 22, 'units_count': 673, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'MAW_5', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 5, 'batch_size': 256}]",1.5488555307916736e-06,35.33393708554745,0.028301403197127,130139.25891940824,1278845.6822118813,2.2066875276429263e-08,55604.42044152229,3.9685469430683867e-13,45817513533440,1050807296,45818564340736,Output-Stationary,5,256
20,MAW_10,GoogLeNet,"[{'element_size': 16, 'element_count': 16, 'units_count': 1241, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'MAW_10', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 10, 'batch_size': 256}]",8.626137995485292e-06,265.65061391318443,0.0037643428910983,362336.8476938687,2336690.4150797827,1.610032226367539e-09,20432.3571896792,7.879816368817197e-14,105015456825344,3215875840,105018672701184,Output-Stationary,10,256
