name,model_name,total_latency,fps,fps_per_w
AMW_PCA_IS(1 Gs/s),GoogLeNet,0.0454567305,21.9989424888356,9.426771959860688e-05
AMW_PCA_IS(1 Gs/s),ResNet50,0.1612917660000001,6.199944515456538,2.2452599743799875e-05
AMW_PCA_IS(1 Gs/s),ShuffleNet_V2,0.0147477809999999,67.80681107212014,0.0002661748013096
AMW_PCA_IS(1 Gs/s),MobileNet_V2,0.007704968,129.78639236399133,0.000495503214358
AMW_PCA_IS(5 Gs/s),GoogLeNet,0.0218702994999999,45.72411091123835,5.1923874147098704e-05
AMW_PCA_IS(5 Gs/s),ResNet50,0.0761304896,13.135341769823585,1.2350933504270497e-05
AMW_PCA_IS(5 Gs/s),ShuffleNet_V2,0.0083615341999999,119.59527714423514,0.0001253959310738
AMW_PCA_IS(5 Gs/s),MobileNet_V2,0.0049019681999999,203.999691389267,0.0002137703699954
AMW_PCA_IS(10 Gs/s),GoogLeNet,0.0171507005999999,58.30665599748156,3.791256457014239e-05
AMW_PCA_IS(10 Gs/s),ResNet50,0.0599517010000003,16.680093864225704,8.996973628877928e-06
AMW_PCA_IS(10 Gs/s),ShuffleNet_V2,0.0072699876,137.55181645701836,8.3959719726628e-05
AMW_PCA_IS(10 Gs/s),MobileNet_V2,0.0041904546999999,238.6375874675368,0.0001451795466118
MAW_PCA_IS(1 Gs/s),GoogLeNet,0.3609390398613675,2.770550950609522,8.307858051560946e-06
MAW_PCA_IS(1 Gs/s),ResNet50,1.2079507615290714,0.827848312901563,2.4523139410885965e-06
MAW_PCA_IS(1 Gs/s),ShuffleNet_V2,0.1125851223108273,8.882168260555593,2.645757616825288e-05
MAW_PCA_IS(1 Gs/s),MobileNet_V2,0.0498226472730982,20.07119361840796,5.954764698743195e-05
MAW_PCA_IS(5 Gs/s),GoogLeNet,0.7289673970885808,1.3718034633563791,1.0714877403934e-06
MAW_PCA_IS(5 Gs/s),ResNet50,2.495955915138073,0.4006481019696541,3.11922646471803e-07
MAW_PCA_IS(5 Gs/s),ShuffleNet_V2,0.2547879934888825,3.92483172502253,3.0610070199437448e-06
MAW_PCA_IS(5 Gs/s),MobileNet_V2,0.1387734111247546,7.205991348739128,5.618667668122076e-06
MAW_PCA_IS(10 Gs/s),GoogLeNet,1.0414370205983898,0.9602116884854152,4.106892049018951e-07
MAW_PCA_IS(10 Gs/s),ResNet50,3.587451489793936,0.2787494138512909,1.1901654944531089e-07
MAW_PCA_IS(10 Gs/s),ShuffleNet_V2,0.3472955264156626,2.879392114032429,1.2304681305940688e-06
MAW_PCA_IS(10 Gs/s),MobileNet_V2,0.2092091262011448,4.779906202746369,2.042698199819142e-06
HEANA_PCA_IS(1 Gs/s),GoogLeNet,0.0148396705,67.38694097015153,0.0006217139284412
HEANA_PCA_IS(1 Gs/s),ResNet50,0.0542478529999998,18.43390926457499,0.0001180826388662
HEANA_PCA_IS(1 Gs/s),ShuffleNet_V2,0.004794878,208.5558798367751,0.0015555597606075
HEANA_PCA_IS(1 Gs/s),MobileNet_V2,0.0020036819999999,499.08119152640006,0.0031938643546958
HEANA_PCA_IS(5 Gs/s),GoogLeNet,0.0080017542999999,124.9725950720582,0.000317280348508
HEANA_PCA_IS(5 Gs/s),ResNet50,0.0279518048,35.77586517776482,6.139112105378514e-05
HEANA_PCA_IS(5 Gs/s),ShuffleNet_V2,0.0028981172,345.0516079887992,0.0007274601869865
HEANA_PCA_IS(5 Gs/s),MobileNet_V2,0.0013124678,761.9234544268429,0.0014632477899667
HEANA_PCA_IS(10 Gs/s),GoogLeNet,0.0064779348,154.370186004342,0.0002071182388819
HEANA_PCA_IS(10 Gs/s),ResNet50,0.0229019465999999,43.66441060516665,4.1398810081649336e-05
HEANA_PCA_IS(10 Gs/s),ShuffleNet_V2,0.0025521410999999,391.82786563015736,0.0004613867236619
HEANA_PCA_IS(10 Gs/s),MobileNet_V2,0.0013658017999999,732.170656093735,0.0008275548569191
AMW_PCA_OS(1 Gs/s),GoogLeNet,0.0436033704999999,22.934006902058183,9.807694243005724e-05
AMW_PCA_OS(1 Gs/s),ResNet50,0.154071276,6.490502486654292,2.334899210607596e-05
AMW_PCA_OS(1 Gs/s),ShuffleNet_V2,0.013716479,72.90500718150746,0.0002835957924964
AMW_PCA_OS(1 Gs/s),MobileNet_V2,0.0072140669999999,138.61806384664857,0.0005242388345801
AMW_PCA_OS(5 Gs/s),GoogLeNet,0.0181309894999999,55.15418780646257,6.18882471533408e-05
AMW_PCA_OS(5 Gs/s),ResNet50,0.0617356195999999,16.19810421405409,1.457118593738333e-05
AMW_PCA_OS(5 Gs/s),ShuffleNet_V2,0.0060954604,164.05651655123495,0.0001642684495195
AMW_PCA_OS(5 Gs/s),MobileNet_V2,0.0037449347999999,267.02734584324435,0.0002693539493631
AMW_PCA_OS(1 Gs/s),GoogLeNet,0.0121557206,82.26579344049745,5.215050034550694e-05
AMW_PCA_OS(1 Gs/s),ResNet50,0.040782011,24.520615229101853,1.2074077147640284e-05
AMW_PCA_OS(1 Gs/s),ShuffleNet_V2,0.0042173056999999,237.1182150727182,0.0001333873299236
AMW_PCA_OS(1 Gs/s),MobileNet_V2,0.0026162829999999,382.2216480403691,0.0002169377774979
MAW_PCA_OS(1 Gs/s),GoogLeNet,0.3596682798613671,2.780339707425538,8.33781490176861e-06
MAW_PCA_OS(1 Gs/s),ResNet50,1.2030491915290749,0.831221206116269,2.462900800619694e-06
MAW_PCA_OS(1 Gs/s),ShuffleNet_V2,0.1118896463424491,8.937377431146784,2.662563374357732e-05
