,name,Model_Name,config,hardware_utilization,total_latency,fps,total_dynamic_energy,total_static_power,fps_per_w,area,fps_per_w_per_area,Total_Cache_Reads,Total_Cache_Writes,Total_Cache_Access,Dataflow,Datarate,BatchSize
14,MAW_1,ShuffleNet_V2,"[{'element_size': 44, 'element_count': 44, 'units_count': 173, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'MAW_1', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 1, 'batch_size': 1}]",0.001371262,0.111889646,8.937377431,425.6226332,331933.1526,2.66E-05,25408.74542,1.05E-09,3.35E+11,3796659,3.35E+11,Output-Stationary,1,1
15,MAW_1,MobileNet_V2,"[{'element_size': 44, 'element_count': 44, 'units_count': 173, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'MAW_1', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 1, 'batch_size': 1}]",0.000716893,0.049556236,20.17909496,255.4864268,331933.1526,5.99E-05,25408.74542,2.36E-09,1.64E+11,1887478,1.64E+11,Output-Stationary,1,1
16,MAW_5,GoogLeNet,"[{'element_size': 22, 'element_count': 22, 'units_count': 673, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'MAW_5', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 5, 'batch_size': 1}]",0.001755147,0.726304867,1.376832299,1044.985197,1278845.682,1.08E-06,55604.42044,1.93E-11,4.18E+11,9310985,4.18E+11,Output-Stationary,5,1
17,MAW_5,ResNet50,"[{'element_size': 22, 'element_count': 22, 'units_count': 673, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'MAW_5', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 5, 'batch_size': 1}]",0.000112287,2.485693875,0.402302154,13980.59807,1278845.682,3.13E-07,55604.42044,5.63E-12,5.56E+12,124328156,5.56E+12,Output-Stationary,5,1
18,MAW_5,ShuffleNet_V2,"[{'element_size': 22, 'element_count': 22, 'units_count': 673, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'MAW_5', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 5, 'batch_size': 1}]",0.000705008,0.253193802,3.94954375,855.3494122,1278845.682,3.08E-06,55604.42044,5.54E-11,3.38E+11,7663726,3.38E+11,Output-Stationary,5,1
19,MAW_5,MobileNet_V2,"[{'element_size': 22, 'element_count': 22, 'units_count': 673, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'MAW_5', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 5, 'batch_size': 1}]",0.000368438,0.138023192,7.245159218,508.3586664,1278845.682,5.65E-06,55604.42044,1.02E-10,1.79E+11,4104716,1.79E+11,Output-Stationary,5,1
20,MAW_10,GoogLeNet,"[{'element_size': 16, 'element_count': 16, 'units_count': 1241, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'MAW_10', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 10, 'batch_size': 1}]",0.00133403,1.037697711,0.96367178,1415.397062,2336690.415,4.12E-07,20432.35719,2.02E-11,4.10E+11,12562015,4.10E+11,Output-Stationary,10,1
21,MAW_10,ResNet50,"[{'element_size': 16, 'element_count': 16, 'units_count': 1241, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'MAW_10', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 10, 'batch_size': 1}]",8.27E-05,3.57305662,0.279872419,19429.33267,2336690.415,1.19E-07,20432.35719,5.85E-12,5.64E+12,172679038,5.64E+12,Output-Stationary,10,1
22,MAW_10,ShuffleNet_V2,"[{'element_size': 16, 'element_count': 16, 'units_count': 1241, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'MAW_10', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 10, 'batch_size': 1}]",0.000528831,0.345029235,2.898305121,1176.694027,2336690.415,1.24E-06,20432.35719,6.06E-11,3.32E+11,10268617,3.32E+11,Output-Stationary,10,1
23,MAW_10,MobileNet_V2,"[{'element_size': 16, 'element_count': 16, 'units_count': 1241, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'MAW_10', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 10, 'batch_size': 1}]",0.000276547,0.208051898,4.806493031,691.6185459,2336690.415,2.05E-06,20432.35719,1.01E-10,1.88E+11,5934830,1.88E+11,Output-Stationary,10,1
24,HEANA_1,GoogLeNet,"[{'element_size': 83, 'element_count': 83, 'units_count': 50, 'reconfig': [], 'vdp_type': 'MMA', 'name': 'HEANA_1', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 10, 'batch_size': 1}]",0.005745809,0.001685044,593.456419,318.9179158,86898.08112,0.002148943,20769.10739,1.03E-07,4.54E+11,2682543,4.54E+11,Output-Stationary,1,1
25,HEANA_1,ResNet50,"[{'element_size': 83, 'element_count': 83, 'units_count': 50, 'reconfig': [], 'vdp_type': 'MMA', 'name': 'HEANA_1', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 10, 'batch_size': 1}]",0.000408534,0.005451539,183.4344461,3754.6111,86898.08112,0.000236499,20769.10739,1.14E-08,5.72E+12,33773466,5.72E+12,Output-Stationary,1,1
26,HEANA_1,ShuffleNet_V2,"[{'element_size': 83, 'element_count': 83, 'units_count': 50, 'reconfig': [], 'vdp_type': 'MMA', 'name': 'HEANA_1', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 10, 'batch_size': 1}]",0.002534316,0.00060295,1658.513415,226.1897077,86898.08112,0.00358957,20769.10739,1.73E-07,3.04E+11,1803266,3.04E+11,Output-Stationary,1,1
27,HEANA_1,MobileNet_V2,"[{'element_size': 83, 'element_count': 83, 'units_count': 50, 'reconfig': [], 'vdp_type': 'MMA', 'name': 'HEANA_1', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 10, 'batch_size': 1}]",0.001292648,0.000351832,2842.263203,138.9842142,86898.08112,0.005897695,20769.10739,2.84E-07,1.28E+11,755690,1.28E+11,Output-Stationary,1,1
28,HEANA_5,GoogLeNet,"[{'element_size': 42, 'element_count': 42, 'units_count': 190, 'reconfig': [], 'vdp_type': 'MMA', 'name': 'HEANA_5', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 50, 'batch_size': 1}]",0.00307368,0.00092986,1075.430502,583.6399541,320947.9702,0.001133688,20228.72805,5.60E-08,4.50E+11,5247829,4.50E+11,Output-Stationary,5,1
29,HEANA_5,ResNet50,"[{'element_size': 42, 'element_count': 42, 'units_count': 190, 'reconfig': [], 'vdp_type': 'MMA', 'name': 'HEANA_5', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 50, 'batch_size': 1}]",0.00021137,0.00254543,392.8608571,7317.92546,320947.9702,0.000122928,20228.72805,6.08E-09,5.79E+12,67734832,5.79E+12,Output-Stationary,5,1
30,HEANA_5,ShuffleNet_V2,"[{'element_size': 42, 'element_count': 42, 'units_count': 190, 'reconfig': [], 'vdp_type': 'MMA', 'name': 'HEANA_5', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 50, 'batch_size': 1}]",0.001301863,0.000364299,2744.995818,444.5008425,320947.9702,0.001781191,20228.72805,8.81E-08,3.34E+11,3967672,3.34E+11,Output-Stationary,5,1
31,HEANA_5,MobileNet_V2,"[{'element_size': 42, 'element_count': 42, 'units_count': 190, 'reconfig': [], 'vdp_type': 'MMA', 'name': 'HEANA_5', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 50, 'batch_size': 1}]",0.000692655,0.000257218,3887.748569,262.1773728,320947.9702,0.002900812,20228.72805,1.43E-07,1.55E+11,1939088,1.55E+11,Output-Stationary,5,1
32,HEANA_10,GoogLeNet,"[{'element_size': 31, 'element_count': 31, 'units_count': 356, 'reconfig': [], 'vdp_type': 'MMA', 'name': 'HEANA_10', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 100, 'batch_size': 1}]",0.002291171,0.000726695,1376.092698,823.4603571,618206.2316,0.000785726,20663.04573,3.80E-08,4.64E+11,7331515,4.64E+11,Output-Stationary,10,1
33,HEANA_10,ResNet50,"[{'element_size': 31, 'element_count': 31, 'units_count': 356, 'reconfig': [], 'vdp_type': 'MMA', 'name': 'HEANA_10', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 100, 'batch_size': 1}]",0.000155861,0.001842475,542.7483057,9997.15754,618206.2316,8.98E-05,20663.04573,4.35E-09,5.77E+12,91232514,5.77E+12,Output-Stationary,10,1
34,HEANA_10,ShuffleNet_V2,"[{'element_size': 31, 'element_count': 31, 'units_count': 356, 'reconfig': [], 'vdp_type': 'MMA', 'name': 'HEANA_10', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 100, 'batch_size': 1}]",0.001013168,0.000301297,3318.98547,589.6296941,618206.2316,0.001288837,20663.04573,6.24E-08,3.18E+11,5076869,3.18E+11,Output-Stationary,10,1
35,HEANA_10,MobileNet_V2,"[{'element_size': 31, 'element_count': 31, 'units_count': 356, 'reconfig': [], 'vdp_type': 'MMA', 'name': 'HEANA_10', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 100, 'batch_size': 1}]",0.000511702,0.000241005,4149.292025,364.0319244,618206.2316,0.001949231,20663.04573,9.43E-08,1.81E+11,2923418,1.81E+11,Output-Stationary,10,1
