Unnamed: 0,name,Model_Name,config,hardware_utilization,total_latency,fps,total_dynamic_energy,total_static_power,fps_per_w,area,fps_per_w_per_area,Total_Cache_Reads,Total_Cache_Writes,Total_Cache_Access,Dataflow,Datarate,BatchSize
11,AMW_10,MobileNet_V2,"[{'element_size': 12, 'element_count': 12, 'units_count': 1280, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMW_10', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 10, 'batch_size': 128}]",1.7185902578052944e-06,0.3348842239999944,2.9861066253154305,112078.02201958196,1427215.4958640046,1.6948291459067028e-06,22251.065426544,7.616844916939966e-11,12073592586240,515714048,12074108300288,Weight-Stationary,10,128
12,MAW_1,GoogLeNet,"[{'element_size': 44, 'element_count': 44, 'units_count': 173, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'MAW_1', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 1, 'batch_size': 128}]",4.333328023209318e-05,46.03753982225536,0.0217214039642618,70357.8115931405,331933.1526098881,6.513918091362988e-08,25408.745417609,2.563651996311732e-12,29591895674880,331212672,29592226887552,Weight-Stationary,1,128
13,MAW_1,ResNet50,"[{'element_size': 44, 'element_count': 44, 'units_count': 173, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'MAW_1', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 1, 'batch_size': 128}]",2.385073760853148e-06,153.99029651572693,0.0064939156727831,856748.335187705,331933.1526098881,1.9241413829193556e-08,25408.745417609,7.572752417700519e-13,349753706356736,3919435520,349757625792256,Weight-Stationary,1,128
14,MAW_1,ShuffleNet_V2,"[{'element_size': 44, 'element_count': 44, 'units_count': 173, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'MAW_1', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 1, 'batch_size': 128}]",1.1415965585659542e-05,14.321874731833343,0.0698232611808349,53492.22201834721,331933.1526098881,2.080127660279597e-07,25408.745417609,8.186660246664552e-12,21683660427264,246400384,21683906827648,Weight-Stationary,1,128
15,MAW_1,MobileNet_V2,"[{'element_size': 44, 'element_count': 44, 'units_count': 173, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'MAW_1', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 1, 'batch_size': 128}]",6.101719338104855e-06,6.343198259192272,0.157649179347476,32219.652829168444,331933.1526098881,4.6778429251905356e-07,25408.745417609,1.8410365597778208e-11,10639919476736,130072320,10640049549056,Weight-Stationary,1,128
16,MAW_5,GoogLeNet,"[{'element_size': 22, 'element_count': 22, 'units_count': 673, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'MAW_5', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 5, 'batch_size': 128}]",2.2580979828215984e-05,92.9670229873346,0.0107565023367074,128927.56636881098,1278845.6822118813,8.401991360885587e-09,55604.42044152229,1.5110293919386754e-13,26944409417728,602025088,26945011442816,Weight-Stationary,5,128
17,MAW_5,ResNet50,"[{'element_size': 22, 'element_count': 22, 'units_count': 673, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'MAW_5', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 5, 'batch_size': 128}]",1.1995550401893757e-06,318.16881601767415,0.0031429855776452,1725252.128696375,1278845.6822118813,2.447297037920062e-09,55604.42044152229,4.401263457990394e-14,358591964780544,8062332416,358600027112960,Weight-Stationary,5,128
18,MAW_5,ShuffleNet_V2,"[{'element_size': 22, 'element_count': 22, 'units_count': 673, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'MAW_5', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 5, 'batch_size': 128}]",5.859171544148752e-06,32.40880671642711,0.030855810544025,105601.20600618196,1278845.6822118813,2.406654086206146e-08,55604.42044152229,4.328170435185384e-13,21914731970560,502574848,21915234545408,Weight-Stationary,5,128
19,MAW_5,MobileNet_V2,"[{'element_size': 22, 'element_count': 22, 'units_count': 673, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'MAW_5', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 5, 'batch_size': 128}]",3.0967858780184576e-06,17.66696854277363,0.0566028063942544,63017.51229759212,1278845.6822118813,4.413774800395384e-08,55604.42044152229,7.937812795004734e-13,11614975561728,273708544,11615249270272,Weight-Stationary,5,128
20,MAW_10,GoogLeNet,"[{'element_size': 16, 'element_count': 16, 'units_count': 1241, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'MAW_10', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 10, 'batch_size': 128}]",1.7208051042169886e-05,132.82530695659298,0.0075286857821965,172431.09897315392,2336690.4150797827,3.220155050989926e-09,20432.3571896792,1.5760076143424573e-13,26432774864896,812601216,26433587466112,Weight-Stationary,10,128
21,MAW_10,ResNet50,"[{'element_size': 16, 'element_count': 16, 'units_count': 1241, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'MAW_10', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 10, 'batch_size': 128}]",8.836436964819391e-07,457.3512473336219,0.0021865032747369,2366721.044390943,2336690.4150797827,9.336588716622711e-10,20432.3571896792,4.569511305009298e-14,363743531761664,11213913856,363754745675520,Weight-Stationary,10,128
22,MAW_10,ShuffleNet_V2,"[{'element_size': 16, 'element_count': 16, 'units_count': 1241, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'MAW_10', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 10, 'batch_size': 128}]",4.379965944477728e-06,44.163742132690444,0.0226430087603421,143587.10530777535,2336690.4150797827,9.676740730553176e-09,20432.3571896792,4.735988432818262e-13,21513199157248,672822400,21513871979648,Weight-Stationary,10,128
23,MAW_10,MobileNet_V2,"[{'element_size': 16, 'element_count': 16, 'units_count': 1241, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'MAW_10', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 10, 'batch_size': 128}]",2.294141467437e-06,26.63064300296894,0.0375507268032737,84554.08242106637,2336690.4150797827,1.6048241698877213e-08,20432.3571896792,7.854327109641325e-13,12185746538496,388411136,12186134949632,Weight-Stationary,10,128
24,HEANA_1,GoogLeNet,"[{'element_size': 83, 'element_count': 83, 'units_count': 50, 'reconfig': [], 'vdp_type': 'MMA', 'name': 'HEANA_1', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 1, 'batch_size': 128}]",7.420238981652156e-05,1.8186316159999985,0.5498639698123454,40432.08063263492,86898.0811182818,5.0386038091659245e-06,25532.850894407497,1.9733808143882351e-10,29238243978752,173438848,29238417417600,Weight-Stationary,1,128
25,HEANA_1,ResNet50,"[{'element_size': 83, 'element_count': 83, 'units_count': 50, 'reconfig': [], 'vdp_type': 'MMA', 'name': 'HEANA_1', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 1, 'batch_size': 128}]",4.372561200113143e-06,6.626828543999953,0.1509017463422103,475680.7313538026,86898.0811182818,9.509867010628312e-07,25532.850894407497,3.724561369960953e-11,368808742131712,2189790464,368810931922176,Weight-Stationary,1,128
26,HEANA_1,ShuffleNet_V2,"[{'element_size': 83, 'element_count': 83, 'units_count': 50, 'reconfig': [], 'vdp_type': 'MMA', 'name': 'HEANA_1', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 1, 'batch_size': 128}]",2.1260612417985424e-05,0.5807854079999802,1.7218063440051752,28692.821848166048,86898.0811182818,1.2632330077172296e-05,25532.850894407497,4.94748123874376e-10,19740705721344,119963904,19740825685248,Weight-Stationary,1,128
27,HEANA_1,MobileNet_V2,"[{'element_size': 83, 'element_count': 83, 'units_count': 50, 'reconfig': [], 'vdp_type': 'MMA', 'name': 'HEANA_1', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 1, 'batch_size': 128}]",1.1356375936119665e-05,0.2538487039999966,3.939354364401298,17681.35555132523,86898.0811182818,2.5163360015302258e-05,25532.850894407497,9.855288044161895e-10,8282825687808,55700736,8282881388544,Weight-Stationary,1,128
28,HEANA_5,GoogLeNet,"[{'element_size': 42, 'element_count': 42, 'units_count': 190, 'reconfig': [], 'vdp_type': 'MMA', 'name': 'HEANA_5', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 5, 'batch_size': 128}]",3.978046285246271e-05,0.8519967103999986,1.173713451934006,73238.47947608489,320947.97021895595,2.8844620562183554e-06,54693.23084943599,5.2738922375219325e-11,28983783757824,339595904,28984123353728,Weight-Stationary,5,128
29,HEANA_5,ResNet50,"[{'element_size': 42, 'element_count': 42, 'units_count': 190, 'reconfig': [], 'vdp_type': 'MMA', 'name': 'HEANA_5', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 5, 'batch_size': 128}]",2.266026252483871e-06,2.9070098943999514,0.3439960771810219,917812.8026249496,320947.97021895595,5.403034706699407e-07,54693.23084943599,9.878799666403551e-12,373076677951488,4389885952,373081067837440,Weight-Stationary,5,128
30,HEANA_5,ShuffleNet_V2,"[{'element_size': 42, 'element_count': 42, 'units_count': 190, 'reconfig': [], 'vdp_type': 'MMA', 'name': 'HEANA_5', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 5, 'batch_size': 128}]",1.0821183925814978e-05,0.275312998399994,3.632229519897676,55813.28526857727,320947.97021895595,6.936042523283269e-06,54693.23084943599,1.2681720234040254e-10,21665033220096,260447232,21665293667328,Weight-Stationary,5,128
31,HEANA_5,MobileNet_V2,"[{'element_size': 42, 'element_count': 42, 'units_count': 190, 'reconfig': [], 'vdp_type': 'MMA', 'name': 'HEANA_5', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 5, 'batch_size': 128}]",5.869963833075246e-06,0.1327427584000006,7.533367635669046,33058.8513542515,320947.97021895595,1.3216609485527874e-05,54693.23084943599,2.4164982174689297e-10,10034924433408,133795840,10035058229248,Weight-Stationary,5,128
32,HEANA_10,GoogLeNet,"[{'element_size': 31, 'element_count': 31, 'units_count': 356, 'reconfig': [], 'vdp_type': 'MMA', 'name': 'HEANA_10', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 10, 'batch_size': 128}]",2.971420016330798e-05,0.5919455743999956,1.689344499304035,102566.55108488616,618206.231565412,2.1344216314309467e-06,20663.0457251286,1.0329656430248559e-10,29884915377920,474512768,29885389890688,Weight-Stationary,10,128
33,HEANA_10,ResNet50,"[{'element_size': 31, 'element_count': 31, 'units_count': 356, 'reconfig': [], 'vdp_type': 'MMA', 'name': 'HEANA_10', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 10, 'batch_size': 128}]",1.6721473570275212e-06,2.007226444800017,0.4981998929869776,1244358.9539932315,618206.231565412,4.0237581183257963e-07,20663.0457251286,1.947320918635171e-11,371981892190720,5932581120,371987824771840,Weight-Stationary,10,128
34,HEANA_10,ShuffleNet_V2,"[{'element_size': 31, 'element_count': 31, 'units_count': 356, 'reconfig': [], 'vdp_type': 'MMA', 'name': 'HEANA_10', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 10, 'batch_size': 128}]",8.369874956785532e-06,0.194669939199994,5.136899945156149,73542.6560346983,618206.231565412,5.157594808163323e-06,20663.0457251286,2.4960477157010326e-10,20598151372032,328602240,20598479974272,Weight-Stationary,10,128
35,HEANA_10,MobileNet_V2,"[{'element_size': 31, 'element_count': 31, 'units_count': 356, 'reconfig': [], 'vdp_type': 'MMA', 'name': 'HEANA_10', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 10, 'batch_size': 128}]",4.356945776277216e-06,0.1119897215999984,8.92939089152994,45499.41578664409,618206.231565412,8.715952039193934e-06,20663.0457251286,4.2181351941714717e-10,11736712127744,191016192,11736903143936,Weight-Stationary,10,128
