,name,Model_Name,config,hardware_utilization,total_latency,fps,total_dynamic_energy,total_static_power,fps_per_w,area,fps_per_w_per_area,Total_Cache_Reads,Total_Cache_Writes,Total_Cache_Access,Dataflow
0,AMW_5,GoogLeNet,"[{'element_size': 16, 'element_count': 16, 'units_count': 734, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMW_5', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 5, 'batch_size': 128}]",1.7208051042169886e-05,2.320766656000001,0.4308920922379883,168812.60518491772,818448.9092037656,4.835025208913573e-07,41986.2581384768,1.1515732583186992e-11,26432774864896,812601216,26433587466112,Output-Stationary
1,AMW_5,ResNet50,"[{'element_size': 16, 'element_count': 16, 'units_count': 734, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMW_5', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 5, 'batch_size': 128}]",8.836436964819391e-07,7.902159308799687,0.12654768917230255,2316926.6572554195,818448.9092037656,1.1383764510069383e-07,41986.2581384768,2.711307226408238e-12,363743531761664,11213913856,363754745675520,Output-Stationary
2,AMW_5,ShuffleNet_V2,"[{'element_size': 16, 'element_count': 16, 'units_count': 734, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMW_5', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 5, 'batch_size': 128}]",4.379965944477728e-06,0.7802189311999788,1.2816915355565615,140642.07137248135,818448.9092037656,1.2833487730757218e-06,41986.2581384768,3.0565923946903067e-11,21513199157248,672822400,21513871979648,Output-Stationary
3,AMW_5,MobileNet_V2,"[{'element_size': 16, 'element_count': 16, 'units_count': 734, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMW_5', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 5, 'batch_size': 128}]",2.294141467437e-06,0.4793516543999828,2.0861511394004193,82885.92240781116,818448.9092037656,2.104329451072814e-06,41986.2581384768,5.0119480619883504e-11,12185746538496,388411136,12186134949632,Output-Stationary
4,AMW_10,GoogLeNet,"[{'element_size': 12, 'element_count': 12, 'units_count': 1280, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMW_10', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 10, 'batch_size': 128}]",1.2644864870214465e-05,1.5559322367999797,0.6427015112538949,233780.0190367073,1427215.4958640046,4.0742646897499775e-07,22251.065426544,1.831042519379615e-11,27137651134464,1112170624,27138763305088,Output-Stationary
5,AMW_10,ResNet50,"[{'element_size': 12, 'element_count': 12, 'units_count': 1280, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMW_10', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 10, 'batch_size': 128}]",6.591484653912585e-07,5.220097408000032,0.1915673064773572,3150982.5196620207,1427215.4958640046,9.432906463599133e-08,22251.065426544,4.239305526622703e-12,363156536328192,14987056128,363171523384320,Output-Stationary
6,AMW_10,ShuffleNet_V2,"[{'element_size': 12, 'element_count': 12, 'units_count': 1280, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMW_10', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 10, 'batch_size': 128}]",3.2726127981623625e-06,0.5398151295999974,1.852486055255619,189177.74165065412,1427215.4958640046,1.0420897339120754e-06,22251.065426544,4.6833251079695883e-11,21525963190272,899049856,21526862240128,Output-Stationary
7,AMW_10,MobileNet_V2,"[{'element_size': 12, 'element_count': 12, 'units_count': 1280, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMW_10', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 10, 'batch_size': 128}]",1.7185902578052944e-06,0.3348842239999944,2.9861066253154305,112078.02201958196,1427215.4958640046,1.6948291459067028e-06,22251.065426544,7.616844916939966e-11,12073592586240,515714048,12074108300288,Output-Stationary
