M,N,Q,Optical Recieved Power(dBm),SOMA (dBm),Products Supported Precision,Sum of Products Supported Precision
128,32,6000,-7.791854308208473,-15.0,4,9
128,31,6000,-7.918446379835858,-15.0,4,8
128,30,6000,-8.049905310431534,-15.0,4,8
128,29,6000,-8.186537974231435,-15.0,4,8
128,28,6000,-8.328683518307185,-15.0,4,8
128,27,6000,-8.476718060930402,-15.0,4,8
128,26,6000,-8.631060277041925,-15.0,4,8
128,25,6000,-8.79217807972871,-15.0,4,8
128,24,6000,-8.960596666358269,-15.0,4,8
128,23,6000,-9.136908278130315,-15.0,4,8
128,22,6000,-9.321784130433217,-15.0,4,8
128,21,6000,-9.515989120499736,-15.0,4,8
128,20,6000,-9.720400126237415,-15.0,4,8
128,19,6000,-9.936029002712804,-15.0,4,8
128,18,6000,-10.164051802135178,-15.0,4,8
128,17,6000,-10.405846354652187,-15.0,4,8
128,16,6000,-10.66304125587644,-15.0,4,8
128,15,6000,-10.93758068581474,-15.0,4,7
128,14,6000,-11.231811625492048,-15.0,4,7
128,13,6000,-11.54860345241999,-15.0,4,7
128,12,6000,-11.891515504593022,-15.0,4,7
128,11,6000,-12.265037729739008,-15.0,4,7
128,10,6000,-12.674946359304588,-15.0,4,7
128,9,6000,-13.128847622133941,-15.0,4,7
128,8,6000,-13.63704305205897,-15.0,4,7
128,7,6000,-14.213975651658266,-15.0,4,6
128,6,6000,-14.880798419581227,-15.0,4,6
128,5,6000,-15.670305949629633,-15.0,4,6
128,4,6000,-16.637439272733893,-15.0,4,6
128,3,6000,-17.885195047262016,-15.0,4,5
128,2,6000,-19.644806915453202,-15.0,4,5
128,1,6000,-22.6541298112135,-15.0,4,4
