model_name,name,kernel_depth,kernel_height,kernel_width,tensor_count,input_shape,output_shape,tensor_shape,input_height,input_width,input_depth,output_height,output_width,output_depth
ResNet50,PointWiseConv,256,1,1,1024,"(None, 14, 14, 256)","(None, 14, 14, 1024)","(1, 1, 256)",14,14,256,14,14,1024
ResNet50,PointWiseConv,1024,1,1,512,"(None, 14, 14, 1024)","(None, 7, 7, 512)","(1, 1, 1024)",14,14,1024,7,7,512
ResNet50,Conv2D,512,3,3,512,"(None, 7, 7, 512)","(None, 7, 7, 512)","(3, 3, 512)",7,7,512,7,7,512
ResNet50,PointWiseConv,1024,1,1,2048,"(None, 14, 14, 1024)","(None, 7, 7, 2048)","(1, 1, 1024)",14,14,1024,7,7,2048
ResNet50,PointWiseConv,512,1,1,2048,"(None, 7, 7, 512)","(None, 7, 7, 2048)","(1, 1, 512)",7,7,512,7,7,2048
ResNet50,PointWiseConv,2048,1,1,512,"(None, 7, 7, 2048)","(None, 7, 7, 512)","(1, 1, 2048)",7,7,2048,7,7,512
ResNet50,Conv2D,512,3,3,512,"(None, 7, 7, 512)","(None, 7, 7, 512)","(3, 3, 512)",7,7,512,7,7,512
ResNet50,PointWiseConv,512,1,1,2048,"(None, 7, 7, 512)","(None, 7, 7, 2048)","(1, 1, 512)",7,7,512,7,7,2048
ResNet50,PointWiseConv,2048,1,1,512,"(None, 7, 7, 2048)","(None, 7, 7, 512)","(1, 1, 2048)",7,7,2048,7,7,512
ResNet50,Conv2D,512,3,3,512,"(None, 7, 7, 512)","(None, 7, 7, 512)","(3, 3, 512)",7,7,512,7,7,512
ResNet50,PointWiseConv,512,1,1,2048,"(None, 7, 7, 512)","(None, 7, 7, 2048)","(1, 1, 512)",7,7,512,7,7,2048
ResNet50,Dense,1,2048,1,1,"(None, 2048)","(None, 1000)","(2048, 1, 1)",7,7,512,1000,1,1
