model_name,name,kernel_depth,kernel_height,kernel_width,tensor_count,input_shape,output_shape,tensor_shape,input_height,input_width,input_depth,output_height,output_width,output_depth
DenseNet121,Conv2D,128,3,3,32,"(None, 28, 28, 128)","(None, 28, 28, 32)","(3, 3, 128)",28,28,128,28,28,32
DenseNet121,PointWiseConv,512,1,1,256,"(None, 28, 28, 512)","(None, 28, 28, 256)","(1, 1, 512)",28,28,512,28,28,256
DenseNet121,PointWiseConv,256,1,1,128,"(None, 14, 14, 256)","(None, 14, 14, 128)","(1, 1, 256)",14,14,256,14,14,128
DenseNet121,Conv2D,128,3,3,32,"(None, 14, 14, 128)","(None, 14, 14, 32)","(3, 3, 128)",14,14,128,14,14,32
DenseNet121,PointWiseConv,288,1,1,128,"(None, 14, 14, 288)","(None, 14, 14, 128)","(1, 1, 288)",14,14,288,14,14,128
DenseNet121,Conv2D,128,3,3,32,"(None, 14, 14, 128)","(None, 14, 14, 32)","(3, 3, 128)",14,14,128,14,14,32
DenseNet121,PointWiseConv,320,1,1,128,"(None, 14, 14, 320)","(None, 14, 14, 128)","(1, 1, 320)",14,14,320,14,14,128
DenseNet121,Conv2D,128,3,3,32,"(None, 14, 14, 128)","(None, 14, 14, 32)","(3, 3, 128)",14,14,128,14,14,32
DenseNet121,PointWiseConv,352,1,1,128,"(None, 14, 14, 352)","(None, 14, 14, 128)","(1, 1, 352)",14,14,352,14,14,128
DenseNet121,Conv2D,128,3,3,32,"(None, 14, 14, 128)","(None, 14, 14, 32)","(3, 3, 128)",14,14,128,14,14,32
DenseNet121,PointWiseConv,384,1,1,128,"(None, 14, 14, 384)","(None, 14, 14, 128)","(1, 1, 384)",14,14,384,14,14,128
DenseNet121,Conv2D,128,3,3,32,"(None, 14, 14, 128)","(None, 14, 14, 32)","(3, 3, 128)",14,14,128,14,14,32
DenseNet121,PointWiseConv,416,1,1,128,"(None, 14, 14, 416)","(None, 14, 14, 128)","(1, 1, 416)",14,14,416,14,14,128
DenseNet121,Conv2D,128,3,3,32,"(None, 14, 14, 128)","(None, 14, 14, 32)","(3, 3, 128)",14,14,128,14,14,32
DenseNet121,PointWiseConv,448,1,1,128,"(None, 14, 14, 448)","(None, 14, 14, 128)","(1, 1, 448)",14,14,448,14,14,128
DenseNet121,Conv2D,128,3,3,32,"(None, 14, 14, 128)","(None, 14, 14, 32)","(3, 3, 128)",14,14,128,14,14,32
DenseNet121,PointWiseConv,480,1,1,128,"(None, 14, 14, 480)","(None, 14, 14, 128)","(1, 1, 480)",14,14,480,14,14,128
DenseNet121,Conv2D,128,3,3,32,"(None, 14, 14, 128)","(None, 14, 14, 32)","(3, 3, 128)",14,14,128,14,14,32
DenseNet121,PointWiseConv,512,1,1,128,"(None, 14, 14, 512)","(None, 14, 14, 128)","(1, 1, 512)",14,14,512,14,14,128
DenseNet121,Conv2D,128,3,3,32,"(None, 14, 14, 128)","(None, 14, 14, 32)","(3, 3, 128)",14,14,128,14,14,32
DenseNet121,PointWiseConv,544,1,1,128,"(None, 14, 14, 544)","(None, 14, 14, 128)","(1, 1, 544)",14,14,544,14,14,128
DenseNet121,Conv2D,128,3,3,32,"(None, 14, 14, 128)","(None, 14, 14, 32)","(3, 3, 128)",14,14,128,14,14,32
DenseNet121,PointWiseConv,576,1,1,128,"(None, 14, 14, 576)","(None, 14, 14, 128)","(1, 1, 576)",14,14,576,14,14,128
