,Parameter,Architecture,Neural_Network,Value
1,hardware_utilization,AMM,GoogleNet,17.80706276564873
2,hardware_utilization,AMM,OverFeatFast,16.301072311141475
3,hardware_utilization,AMM,ResNet34,12.659092629782768
5,hardware_utilization,AMM,VGG16,12.183540437788794
9,hardware_utilization,DAMM,GoogleNet,94.08435040983922
10,hardware_utilization,DAMM,OverFeatFast,93.82733142080185
11,hardware_utilization,DAMM,ResNet34,90.7548093252664
13,hardware_utilization,DAMM,VGG16,90.5447347100362
21,hardware_utilization,MAM,GoogleNet,11.011977986295333
22,hardware_utilization,MAM,OverFeatFast,9.737872732041412
23,hardware_utilization,MAM,ResNet34,7.733419036664813
25,hardware_utilization,MAM,VGG16,7.445421334960179
27,hardware_utilization,RAMM,GoogleNet,87.63309331822211
28,hardware_utilization,RAMM,OverFeatFast,94.37492258672327
29,hardware_utilization,RAMM,ResNet34,90.01029895622065
31,hardware_utilization,RAMM,VGG16,92.43435178374628
59,hardware_utilization,RMAM,GoogleNet,80.33265972071898
60,hardware_utilization,RMAM,OverFeatFast,97.91006840523708
61,hardware_utilization,RMAM,ResNet34,90.75385965789177
63,hardware_utilization,RMAM,VGG16,98.50713683655218
