name,Model_Name,config,hardware_utilization,total_latency,fps,total_dynamic_energy,total_static_power,fps_per_w,area,fps_per_w_per_area
AMM,ShuffleNet_V2.csv,"[{'element_size': 78, 'element_count': 78, 'units_count': 14, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMM'}]",83.49459385,0.000749525,1334.178745,51.49692998,1132.649698,1.126700624,151.5692948,0.007433568
RAMM,ShuffleNet_V2.csv,"[{'element_size': 78, 'element_count': 78, 'units_count': 14, 'reconfig': [9, 16, 25], 'vdp_type': 'AMM', 'name': 'RAMM'}]",77.9135881,0.000727434,1374.694725,51.59030369,1898.670226,0.704877479,221.3158378,0.003184939
HOLY_LIGHT,ShuffleNet_V2.csv,"[{'element_size': 128, 'element_count': 128, 'units_count': 8, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'HOLY_LIGHT'}]",73.31355582,0.000303494,3294.958129,26.38882654,1471.098772,2.200324152,216.1228508,0.010180895
CROSS_LIGHT,ShuffleNet_V2.csv,"[{'element_size': 10, 'element_count': 20, 'units_count': 33, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'CROSS_LIGHT'}, {'element_size': 15, 'element_count': 30, 'units_count': 13, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'CROSS_LIGHT'}]",98.78755724,0.114803487,8.710536842,119.7575069,178.9606553,0.029159716,29.18397013,0.000999169
RMAM,ShuffleNet_V2.csv,"[{'element_size': 128, 'element_count': 128, 'units_count': 8, 'reconfig': [9, 16, 25], 'vdp_type': 'MAM', 'name': 'RMAM'}]",60.70535752,0.000278396,3592.001942,26.35337839,2365.94288,1.501487087,315.6055203,0.00475748
AMM,Xception.csv,"[{'element_size': 78, 'element_count': 78, 'units_count': 14, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMM'}]",88.4781959,0.028411645,35.19683589,993.2155165,1132.649698,0.016556476,151.5692948,0.000109234
RAMM,Xception.csv,"[{'element_size': 78, 'element_count': 78, 'units_count': 14, 'reconfig': [9, 16, 25], 'vdp_type': 'AMM', 'name': 'RAMM'}]",83.20297592,0.027979424,35.74054965,994.9825844,1898.670226,0.012351361,221.3158378,5.58E-05
HOLY_LIGHT,Xception.csv,"[{'element_size': 128, 'element_count': 128, 'units_count': 8, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'HOLY_LIGHT'}]",79.10554126,0.006644085,150.5098077,450.0214875,1471.098772,0.078344813,216.1228508,0.000362501
CROSS_LIGHT,Xception.csv,"[{'element_size': 10, 'element_count': 20, 'units_count': 33, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'CROSS_LIGHT'}, {'element_size': 15, 'element_count': 30, 'units_count': 13, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'CROSS_LIGHT'}]",98.98429365,2.161909617,0.462554027,1582.306449,178.9606553,0.000262626,29.18397013,9.00E-06
RMAM,Xception.csv,"[{'element_size': 128, 'element_count': 128, 'units_count': 8, 'reconfig': [9, 16, 25], 'vdp_type': 'MAM', 'name': 'RMAM'}]",68.25524304,0.006154481,162.4832427,449.2182244,2365.94288,0.057717209,315.6055203,0.000182878
