,name,Model_Name,config,hardware_utilization,total_latency,fps,total_dynamic_energy,total_static_power,fps_per_w,area,fps_per_w_per_area
21,RMAM,ResNet50,"[{'element_size': 128, 'element_count': 128, 'units_count': 8, 'reconfig': [9, 16, 25], 'vdp_type': 'MAM', 'name': 'RMAM'}]",66.93503816,0.005196811,192.4256827,204.2446689,10646.88759,0.003852458,315.6055203,1.22E-05
22,RMAM,ShuffleNet_V2,"[{'element_size': 128, 'element_count': 128, 'units_count': 8, 'reconfig': [9, 16, 25], 'vdp_type': 'MAM', 'name': 'RMAM'}]",60.70535752,0.000278396,3592.001942,26.35337839,10646.88759,0.034109399,315.6055203,0.000108076
23,RMAM,Xception,"[{'element_size': 128, 'element_count': 128, 'units_count': 8, 'reconfig': [9, 16, 25], 'vdp_type': 'MAM', 'name': 'RMAM'}]",68.25524304,0.006154481,162.4832427,449.2182244,10646.88759,0.001942712,315.6055203,6.16E-06
,RMAM,Average,,57.67479787,0.008831465,1962.627615,469.1531485,10646.88759,0.019873963,315.6055203,6.29709E-05
24,RMAM_v2,EfficientNet_B7,"[{'element_size': 128, 'element_count': 128, 'units_count': 8, 'reconfig': [9, 25], 'vdp_type': 'MAM', 'name': 'RMAM_v2'}]",65.09000731,0.040782288,24.52044875,2084.731067,9453.526183,0.000404814,285.5154243,1.42E-06
25,RMAM_v2,MobileNet_V2,"[{'element_size': 128, 'element_count': 128, 'units_count': 8, 'reconfig': [9, 25], 'vdp_type': 'MAM', 'name': 'RMAM_v2'}]",37.57964141,0.000223665,4470.979896,17.17779681,9453.526183,0.051834377,285.5154243,0.000181547
26,RMAM_v2,NASNetMobile,"[{'element_size': 128, 'element_count': 128, 'units_count': 8, 'reconfig': [9, 25], 'vdp_type': 'MAM', 'name': 'RMAM_v2'}]",53.11976668,0.000384679,2599.568449,33.24541359,9453.526183,0.027113505,285.5154243,9.50E-05
27,RMAM_v2,ResNet50,"[{'element_size': 128, 'element_count': 128, 'units_count': 8, 'reconfig': [9, 25], 'vdp_type': 'MAM', 'name': 'RMAM_v2'}]",73.34797595,0.005196811,192.4256827,204.2446689,9453.526183,0.003946753,285.5154243,1.38E-05
28,RMAM_v2,ShuffleNet_V2,"[{'element_size': 128, 'element_count': 128, 'units_count': 8, 'reconfig': [9, 25], 'vdp_type': 'MAM', 'name': 'RMAM_v2'}]",66.52143968,0.000278396,3592.001942,26.35337839,9453.526183,0.03450036,285.5154243,0.000120835
29,RMAM_v2,Xception,"[{'element_size': 128, 'element_count': 128, 'units_count': 8, 'reconfig': [9, 25], 'vdp_type': 'MAM', 'name': 'RMAM_v2'}]",74.79466753,0.006154481,162.4832427,449.2182244,9453.526183,0.001970833,285.5154243,6.90E-06
,RMAM_v2,Average,,61.74224976,0.00883672,1840.329943,469.1617582,9453.526183,0.019961774,285.5154243,6.99149E-05
