,name,Model_Name,config,hardware_utilization,total_latency,fps,total_dynamic_energy,total_static_power,fps_per_w,area,fps_per_w_per_area
29,RMAM_V2,Xception,"[{'element_size': 128, 'element_count': 128, 'units_count': 8, 'reconfig': [9, 25], 'vdp_type': 'MAM', 'name': 'RMAM_v2'}]",74.79466753,0.006154481,162.4832427,449.2182244,9453.526183,0.001970833,285.5154243,6.90E-06
,RMAM_V2,Average,,71.07755026,0.01737786,126.4764581,912.7313202,9453.526183,0.002107467,285.5154243,7.38E-06
42,RMAM_V3,EfficientNet_B7,"[{'element_size': 128, 'element_count': 128, 'units_count': 8, 'reconfig': [9], 'vdp_type': 'MAM', 'name': 'RMAM_v3'}]",63.12857606,0.041910796,23.86020059,2086.595132,8707.675303,0.000407907,264.9136863,1.54E-06
45,RMAM_V3,ResNet50,"[{'element_size': 128, 'element_count': 128, 'units_count': 8, 'reconfig': [9], 'vdp_type': 'MAM', 'name': 'RMAM_v3'}]",78.01982155,0.005196811,192.4256827,204.2446689,8707.675303,0.004008067,264.9136863,1.51E-05
47,RMAM_V3,Xception,"[{'element_size': 128, 'element_count': 128, 'units_count': 8, 'reconfig': [9], 'vdp_type': 'MAM', 'name': 'RMAM_v3'}]",79.55865909,0.006154481,162.4832427,449.2182244,8707.675303,0.001988825,264.9136863,7.51E-06
,RMAM_V3,Average,,73.5690189,0.017754029,126.2563753,913.3526753,8707.675303,0.002134933,264.9136863,8.06E-06
47,CROSS_LIGHT,EfficientNet_B7,"[{'element_size': 10, 'element_count': 20, 'units_count': 33, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'CROSS_LIGHT'}, {'element_size': 15, 'element_count': 30, 'units_count': 13, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'CROSS_LIGHT'}]",99.13676403,8.362668393,0.119579057,6111.816363,3384.835641,2.91E-05,29.18397013,9.96E-07
47,CROSS_LIGHT,ResNet50,"[{'element_size': 10, 'element_count': 20, 'units_count': 33, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'CROSS_LIGHT'}, {'element_size': 15, 'element_count': 30, 'units_count': 13, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'CROSS_LIGHT'}]",99.07219248,0.45126519,2.215991887,390.8161948,3384.835641,0.000521302,29.18397013,1.79E-05
47,CROSS_LIGHT,Xception,"[{'element_size': 10, 'element_count': 20, 'units_count': 33, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'CROSS_LIGHT'}, {'element_size': 15, 'element_count': 30, 'units_count': 13, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'CROSS_LIGHT'}]",99.26679938,2.064322033,0.484420543,1466.817996,3384.835641,0.000118284,29.18397013,4.05E-06
,CROSS_LIGHT,Average,,99.1585853,3.626085205,0.939997162,2656.483518,3384.835641,0.00022288,29.18397013,7.64E-06
