,name,Model_Name,config,hardware_utilization,total_latency,fps,total_dynamic_energy,total_static_power,fps_per_w,area,fps_per_w_per_area
28,RMAM_V2,ShuffleNet_V2,"[{'element_size': 128, 'element_count': 128, 'units_count': 8, 'reconfig': [9, 25], 'vdp_type': 'MAM', 'name': 'RMAM_v2'}]",66.52143968,0.000278396,3592.001942,26.35337839,9453.526183,0.03450036,285.5154243,0.000120835
,RMAM_V2,Average,,52.40694926,0.00029558,3554.183429,25.59219626,9453.526183,0.037816081,285.5154243,0.000132448
43,RMAM_V3,MobileNet_V2,"[{'element_size': 128, 'element_count': 128, 'units_count': 8, 'reconfig': [9], 'vdp_type': 'MAM', 'name': 'RMAM_v3'}]",39.97324915,0.000223665,4470.979896,17.17779681,8707.675303,0.0522865,264.9136863,0.000197372
44,RMAM_V3,NASNetMobile,"[{'element_size': 128, 'element_count': 128, 'units_count': 8, 'reconfig': [9], 'vdp_type': 'MAM', 'name': 'RMAM_v3'}]",49.81988311,0.000415078,2409.18336,33.28989552,8707.675303,0.02709714,264.9136863,0.000102287
46,RMAM_V3,ShuffleNet_V2,"[{'element_size': 128, 'element_count': 128, 'units_count': 8, 'reconfig': [9], 'vdp_type': 'MAM', 'name': 'RMAM_v3'}]",70.75847405,0.000278396,3592.001942,26.35337839,8707.675303,0.034749294,264.9136863,0.000131172
,RMAM_V3,Average,,53.5172021,0.000305713,3490.721733,25.60702357,8707.675303,0.038044311,264.9136863,0.00014361
47,CROSS_LIGHT,MobileNet_V2,"[{'element_size': 10, 'element_count': 20, 'units_count': 33, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'CROSS_LIGHT'}, {'element_size': 15, 'element_count': 30, 'units_count': 13, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'CROSS_LIGHT'}]",99.46138205,0.037398015,26.73938741,40.58175233,3384.835641,0.00598201,29.18397013,0.000204976
47,CROSS_LIGHT,NASNetMobile,"[{'element_size': 10, 'element_count': 20, 'units_count': 33, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'CROSS_LIGHT'}, {'element_size': 15, 'element_count': 30, 'units_count': 13, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'CROSS_LIGHT'}]",99.07376079,0.082089738,12.18179061,82.76170981,3384.835641,0.002772987,29.18397013,9.50E-05
47,CROSS_LIGHT,ShuffleNet_V2,"[{'element_size': 10, 'element_count': 20, 'units_count': 33, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'CROSS_LIGHT'}, {'element_size': 15, 'element_count': 30, 'units_count': 13, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'CROSS_LIGHT'}]",98.92937705,0.114573572,8.72801628,117.9984876,3384.835641,0.001977022,29.18397013,6.77E-05
,CROSS_LIGHT,Average,,99.15483996,0.078020441,15.88306477,80.44731658,3384.835641,0.00357734,29.18397013,0.000122579
